Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086071,2013,10,15,9.4,1,Y
IDCJAC0011,086071,2013,10,16,12.9,1,Y
IDCJAC0011,086071,2013,10,17,10.8,1,Y
IDCJAC0011,086071,2013,10,18,6.6,1,Y
IDCJAC0011,086071,2013,10,19,12.2,1,Y
IDCJAC0011,086071,2013,10,20,17.3,1,Y
IDCJAC0011,086071,2013,10,21,14.8,1,Y
IDCJAC0011,086071,2013,10,22,12.3,1,Y
IDCJAC0011,086071,2013,10,23,12.9,1,Y
IDCJAC0011,086071,2013,10,24,7.2,1,Y
IDCJAC0011,086071,2013,10,25,7.5,1,Y
IDCJAC0011,086071,2013,10,26,10.2,1,Y
IDCJAC0011,086071,2013,10,27,9.9,1,Y
IDCJAC0011,086071,2013,10,28,11.3,1,Y
IDCJAC0011,086071,2013,10,29,11.7,1,Y
IDCJAC0011,086071,2013,10,30,12.2,1,Y
IDCJAC0011,086071,2013,10,31,12.3,1,Y
IDCJAC0011,086071,2013,11,01,9.5,1,Y
IDCJAC0011,086071,2013,11,02,12.8,1,Y
IDCJAC0011,086071,2013,11,03,13.3,1,Y
IDCJAC0011,086071,2013,11,04,10.3,1,Y
IDCJAC0011,086071,2013,11,05,9.1,1,Y
IDCJAC0011,086071,2013,11,06,12.2,1,Y
IDCJAC0011,086071,2013,11,07,20.2,1,Y
IDCJAC0011,086071,2013,11,08,14.4,1,Y
IDCJAC0011,086071,2013,11,09,10.3,1,Y
IDCJAC0011,086071,2013,11,10,9.7,1,Y
IDCJAC0011,086071,2013,11,11,9.8,1,Y
IDCJAC0011,086071,2013,11,12,12.4,1,Y
IDCJAC0011,086071,2013,11,13,10,1,Y
IDCJAC0011,086071,2013,11,14,10.7,1,Y
IDCJAC0011,086071,2013,11,15,11.6,1,Y
IDCJAC0011,086071,2013,11,16,10.7,1,Y
IDCJAC0011,086071,2013,11,17,9.6,1,Y
IDCJAC0011,086071,2013,11,18,11.5,1,Y
IDCJAC0011,086071,2013,11,19,14.7,1,Y
IDCJAC0011,086071,2013,11,20,14.4,1,Y
IDCJAC0011,086071,2013,11,21,11.9,1,Y
IDCJAC0011,086071,2013,11,22,13.3,1,Y
IDCJAC0011,086071,2013,11,23,13.1,1,Y
IDCJAC0011,086071,2013,11,24,11.7,1,Y
IDCJAC0011,086071,2013,11,25,13.2,1,Y
IDCJAC0011,086071,2013,11,26,10.3,1,Y
IDCJAC0011,086071,2013,11,27,15.7,1,Y
IDCJAC0011,086071,2013,11,28,21.8,1,Y
IDCJAC0011,086071,2013,11,29,12,1,Y
IDCJAC0011,086071,2013,11,30,12.3,1,Y
IDCJAC0011,086071,2013,12,01,10.1,1,Y
IDCJAC0011,086071,2013,12,02,16.6,1,Y
IDCJAC0011,086071,2013,12,03,16.9,1,Y
IDCJAC0011,086071,2013,12,04,17.2,1,Y
IDCJAC0011,086071,2013,12,05,10.7,1,Y
IDCJAC0011,086071,2013,12,06,7.9,1,Y
IDCJAC0011,086071,2013,12,07,11,1,Y
IDCJAC0011,086071,2013,12,08,16.3,1,Y
IDCJAC0011,086071,2013,12,09,16.3,1,Y
IDCJAC0011,086071,2013,12,10,12.5,1,Y
IDCJAC0011,086071,2013,12,11,13.7,1,Y
IDCJAC0011,086071,2013,12,12,11,1,Y
IDCJAC0011,086071,2013,12,13,14.4,1,Y
IDCJAC0011,086071,2013,12,14,14.4,1,Y
IDCJAC0011,086071,2013,12,15,14,1,Y
IDCJAC0011,086071,2013,12,16,14.8,1,Y
IDCJAC0011,086071,2013,12,17,14.2,1,Y
IDCJAC0011,086071,2013,12,18,13.9,1,Y
IDCJAC0011,086071,2013,12,19,15.7,1,Y
IDCJAC0011,086071,2013,12,20,21.3,1,Y
IDCJAC0011,086071,2013,12,21,15.1,1,Y
IDCJAC0011,086071,2013,12,22,16.6,1,Y
IDCJAC0011,086071,2013,12,23,14.6,1,Y
IDCJAC0011,086071,2013,12,24,13.5,1,Y
IDCJAC0011,086071,2013,12,25,12.3,1,Y
IDCJAC0011,086071,2013,12,26,17.7,1,Y
IDCJAC0011,086071,2013,12,27,16.4,1,Y
IDCJAC0011,086071,2013,12,28,14.8,1,Y
IDCJAC0011,086071,2013,12,29,14.4,1,Y
IDCJAC0011,086071,2013,12,30,11.6,1,Y
IDCJAC0011,086071,2013,12,31,12,1,Y
IDCJAC0011,086071,2014,01,01,16.2,1,Y
IDCJAC0011,086071,2014,01,02,15.2,1,Y
IDCJAC0011,086071,2014,01,03,13.9,1,Y
IDCJAC0011,086071,2014,01,04,13.4,1,Y
IDCJAC0011,086071,2014,01,05,10.9,1,Y
IDCJAC0011,086071,2014,01,06,12.7,1,Y
IDCJAC0011,086071,2014,01,07,14,1,Y
IDCJAC0011,086071,2014,01,08,11.7,1,Y
IDCJAC0011,086071,2014,01,09,14.3,1,Y
IDCJAC0011,086071,2014,01,10,18.3,1,Y
IDCJAC0011,086071,2014,01,11,17.8,1,Y
IDCJAC0011,086071,2014,01,12,16.5,1,Y
IDCJAC0011,086071,2014,01,13,15.2,1,Y
IDCJAC0011,086071,2014,01,14,18.3,1,Y
IDCJAC0011,086071,2014,01,15,28.6,1,Y
IDCJAC0011,086071,2014,01,16,27,1,Y
IDCJAC0011,086071,2014,01,17,25.6,1,Y
IDCJAC0011,086071,2014,01,18,21.5,1,Y
IDCJAC0011,086071,2014,01,19,16.2,1,Y
IDCJAC0011,086071,2014,01,20,17,1,Y
IDCJAC0011,086071,2014,01,21,16.8,1,Y
IDCJAC0011,086071,2014,01,22,16.2,1,Y
IDCJAC0011,086071,2014,01,23,13.6,1,Y
IDCJAC0011,086071,2014,01,24,16.9,1,Y
IDCJAC0011,086071,2014,01,25,15.5,1,Y
IDCJAC0011,086071,2014,01,26,13,1,Y
IDCJAC0011,086071,2014,01,27,16.9,1,Y
IDCJAC0011,086071,2014,01,28,24.5,1,Y
IDCJAC0011,086071,2014,01,29,18.4,1,Y
IDCJAC0011,086071,2014,01,30,16,1,Y
IDCJAC0011,086071,2014,01,31,18.6,1,Y
IDCJAC0011,086071,2014,02,01,18.6,1,Y
IDCJAC0011,086071,2014,02,02,18.3,1,Y
IDCJAC0011,086071,2014,02,03,22.7,1,Y
IDCJAC0011,086071,2014,02,04,14.8,1,Y
IDCJAC0011,086071,2014,02,05,13.9,1,Y
IDCJAC0011,086071,2014,02,06,17.4,1,Y
IDCJAC0011,086071,2014,02,07,22.9,1,Y
IDCJAC0011,086071,2014,02,08,18.6,1,Y
IDCJAC0011,086071,2014,02,09,22.2,1,Y
IDCJAC0011,086071,2014,02,10,15.9,1,Y
IDCJAC0011,086071,2014,02,11,14.6,1,Y
IDCJAC0011,086071,2014,02,12,17.1,1,Y
IDCJAC0011,086071,2014,02,13,18.9,1,Y
IDCJAC0011,086071,2014,02,14,19.4,1,Y
IDCJAC0011,086071,2014,02,15,21,1,Y
IDCJAC0011,086071,2014,02,16,17.1,1,Y
IDCJAC0011,086071,2014,02,17,16.2,1,Y
IDCJAC0011,086071,2014,02,18,14.5,1,Y
IDCJAC0011,086071,2014,02,19,17.5,1,Y
IDCJAC0011,086071,2014,02,20,12.6,1,Y
IDCJAC0011,086071,2014,02,21,13.2,1,Y
IDCJAC0011,086071,2014,02,22,14.2,1,Y
IDCJAC0011,086071,2014,02,23,14.2,1,Y
IDCJAC0011,086071,2014,02,24,14.6,1,Y
IDCJAC0011,086071,2014,02,25,15.5,1,Y
IDCJAC0011,086071,2014,02,26,15.1,1,Y
IDCJAC0011,086071,2014,02,27,14.4,1,Y
