Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086071,2013,12,21,21.4,1,Y
IDCJAC0010,086071,2013,12,22,28.4,1,Y
IDCJAC0010,086071,2013,12,23,18.2,1,Y
IDCJAC0010,086071,2013,12,24,23.3,1,Y
IDCJAC0010,086071,2013,12,25,31.8,1,Y
IDCJAC0010,086071,2013,12,26,27.6,1,Y
IDCJAC0010,086071,2013,12,27,22.4,1,Y
IDCJAC0010,086071,2013,12,28,36.5,1,Y
IDCJAC0010,086071,2013,12,29,20.9,1,Y
IDCJAC0010,086071,2013,12,30,22.6,1,Y
IDCJAC0010,086071,2013,12,31,25.4,1,Y
IDCJAC0010,086071,2014,01,01,26.3,1,Y
IDCJAC0010,086071,2014,01,02,23.6,1,Y
IDCJAC0010,086071,2014,01,03,22.3,1,Y
IDCJAC0010,086071,2014,01,04,20.7,1,Y
IDCJAC0010,086071,2014,01,05,26.7,1,Y
IDCJAC0010,086071,2014,01,06,20.2,1,Y
IDCJAC0010,086071,2014,01,07,20.8,1,Y
IDCJAC0010,086071,2014,01,08,27.5,1,Y
IDCJAC0010,086071,2014,01,09,33.3,1,Y
IDCJAC0010,086071,2014,01,10,34.7,1,Y
IDCJAC0010,086071,2014,01,11,22.7,1,Y
IDCJAC0010,086071,2014,01,12,22.8,1,Y
IDCJAC0010,086071,2014,01,13,31.1,1,Y
IDCJAC0010,086071,2014,01,14,42.8,1,Y
IDCJAC0010,086071,2014,01,15,41.7,1,Y
IDCJAC0010,086071,2014,01,16,43.9,1,Y
IDCJAC0010,086071,2014,01,17,43.9,1,Y
IDCJAC0010,086071,2014,01,18,24,1,Y
IDCJAC0010,086071,2014,01,19,22.8,1,Y
IDCJAC0010,086071,2014,01,20,24.8,1,Y
IDCJAC0010,086071,2014,01,21,23.7,1,Y
IDCJAC0010,086071,2014,01,22,24.3,1,Y
IDCJAC0010,086071,2014,01,23,30.4,1,Y
IDCJAC0010,086071,2014,01,24,23,1,Y
IDCJAC0010,086071,2014,01,25,21,1,Y
IDCJAC0010,086071,2014,01,26,27.2,1,Y
IDCJAC0010,086071,2014,01,27,35.3,1,Y
IDCJAC0010,086071,2014,01,28,42,1,Y
IDCJAC0010,086071,2014,01,29,25.1,1,Y
IDCJAC0010,086071,2014,01,30,30,1,Y
IDCJAC0010,086071,2014,01,31,27,1,Y
IDCJAC0010,086071,2014,02,01,30.2,1,Y
IDCJAC0010,086071,2014,02,02,39,1,Y
IDCJAC0010,086071,2014,02,03,34,1,Y
IDCJAC0010,086071,2014,02,04,26.2,1,Y
IDCJAC0010,086071,2014,02,05,31.1,1,Y
IDCJAC0010,086071,2014,02,06,35.6,1,Y
IDCJAC0010,086071,2014,02,07,36.6,1,Y
IDCJAC0010,086071,2014,02,08,41,1,Y
IDCJAC0010,086071,2014,02,09,40.4,1,Y
IDCJAC0010,086071,2014,02,10,24.9,1,Y
IDCJAC0010,086071,2014,02,11,27,1,Y
IDCJAC0010,086071,2014,02,12,27.2,1,Y
IDCJAC0010,086071,2014,02,13,26.9,1,Y
IDCJAC0010,086071,2014,02,14,27,1,Y
IDCJAC0010,086071,2014,02,15,28.9,1,Y
IDCJAC0010,086071,2014,02,16,24.1,1,Y
IDCJAC0010,086071,2014,02,17,25.9,1,Y
IDCJAC0010,086071,2014,02,18,30.4,1,Y
IDCJAC0010,086071,2014,02,19,25.4,1,Y
IDCJAC0010,086071,2014,02,20,20.8,1,Y
IDCJAC0010,086071,2014,02,21,20.8,1,Y
IDCJAC0010,086071,2014,02,22,20.2,1,Y
IDCJAC0010,086071,2014,02,23,23.8,1,Y
IDCJAC0010,086071,2014,02,24,25.2,1,Y
IDCJAC0010,086071,2014,02,25,33,1,Y
IDCJAC0010,086071,2014,02,26,22.6,1,Y
IDCJAC0010,086071,2014,02,27,22.3,1,Y
IDCJAC0010,086071,2014,02,28,23.5,1,Y
IDCJAC0010,086071,2014,03,01,24.2,1,Y
IDCJAC0010,086071,2014,03,02,23.4,1,Y
IDCJAC0010,086071,2014,03,03,25.3,1,Y
IDCJAC0010,086071,2014,03,04,33.7,1,Y
IDCJAC0010,086071,2014,03,05,23,1,Y
IDCJAC0010,086071,2014,03,06,21.4,1,Y
IDCJAC0010,086071,2014,03,07,23.1,1,Y
IDCJAC0010,086071,2014,03,08,28.4,1,Y
IDCJAC0010,086071,2014,03,09,33.1,1,Y
IDCJAC0010,086071,2014,03,10,32.7,1,Y
IDCJAC0010,086071,2014,03,11,31.2,1,Y
IDCJAC0010,086071,2014,03,12,22.2,1,Y
IDCJAC0010,086071,2014,03,13,22.9,1,Y
IDCJAC0010,086071,2014,03,14,27.3,1,Y
IDCJAC0010,086071,2014,03,15,29.6,1,Y
IDCJAC0010,086071,2014,03,16,20.5,1,Y
IDCJAC0010,086071,2014,03,17,24.9,1,Y
IDCJAC0010,086071,2014,03,18,25.1,1,Y
IDCJAC0010,086071,2014,03,19,22.7,1,Y
IDCJAC0010,086071,2014,03,20,30.9,1,Y
IDCJAC0010,086071,2014,03,21,23.6,1,Y
IDCJAC0010,086071,2014,03,22,19.6,1,Y
IDCJAC0010,086071,2014,03,23,19.3,1,Y
IDCJAC0010,086071,2014,03,24,19,1,Y
IDCJAC0010,086071,2014,03,25,24.6,1,Y
IDCJAC0010,086071,2014,03,26,27,1,Y
IDCJAC0010,086071,2014,03,27,25.4,1,Y
IDCJAC0010,086071,2014,03,28,22.1,1,Y
IDCJAC0010,086071,2014,03,29,24.4,1,Y
IDCJAC0010,086071,2014,03,30,26.5,1,Y
IDCJAC0010,086071,2014,03,31,30.9,1,Y
IDCJAC0010,086071,2014,04,01,33.4,1,Y
IDCJAC0010,086071,2014,04,02,24.9,1,Y
IDCJAC0010,086071,2014,04,03,18.3,1,Y
IDCJAC0010,086071,2014,04,04,20.7,1,Y
IDCJAC0010,086071,2014,04,05,24.5,1,Y
IDCJAC0010,086071,2014,04,06,25.4,1,Y
IDCJAC0010,086071,2014,04,07,24.9,1,Y
IDCJAC0010,086071,2014,04,08,22,1,Y
IDCJAC0010,086071,2014,04,09,18,1,Y
IDCJAC0010,086071,2014,04,10,19.3,1,Y
IDCJAC0010,086071,2014,04,11,19.2,1,Y
IDCJAC0010,086071,2014,04,12,23,1,Y
IDCJAC0010,086071,2014,04,13,22.5,1,Y
IDCJAC0010,086071,2014,04,14,21.1,1,Y
IDCJAC0010,086071,2014,04,15,21.9,1,Y
IDCJAC0010,086071,2014,04,16,22.3,1,Y
IDCJAC0010,086071,2014,04,17,25.1,1,Y
IDCJAC0010,086071,2014,04,18,19,1,Y
IDCJAC0010,086071,2014,04,19,18.1,1,Y
IDCJAC0010,086071,2014,04,20,19.1,1,Y
IDCJAC0010,086071,2014,04,21,18.5,1,Y
IDCJAC0010,086071,2014,04,22,16.8,1,Y
IDCJAC0010,086071,2014,04,23,19.4,1,Y
IDCJAC0010,086071,2014,04,24,18.8,1,Y
IDCJAC0010,086071,2014,04,25,20.9,1,Y
IDCJAC0010,086071,2014,04,26,19.3,1,Y
IDCJAC0010,086071,2014,04,27,17.6,1,Y
IDCJAC0010,086071,2014,04,28,22.4,1,Y
IDCJAC0010,086071,2014,04,29,20,1,Y
IDCJAC0010,086071,2014,04,30,17.8,1,Y
IDCJAC0010,086071,2014,05,01,16.2,1,Y
IDCJAC0010,086071,2014,05,02,14.3,1,Y
IDCJAC0010,086071,2014,05,03,17.6,1,Y
IDCJAC0010,086071,2014,05,04,14.2,1,Y
IDCJAC0010,086071,2014,05,05,16.7,1,Y
IDCJAC0010,086071,2014,05,06,16.5,1,Y
IDCJAC0010,086071,2014,05,07,16.5,1,Y
IDCJAC0010,086071,2014,05,08,18.9,1,Y
IDCJAC0010,086071,2014,05,09,18.6,1,Y
IDCJAC0010,086071,2014,05,10,16.6,1,Y
IDCJAC0010,086071,2014,05,11,20,1,Y
IDCJAC0010,086071,2014,05,12,20.1,1,Y
IDCJAC0010,086071,2014,05,13,20.4,1,Y
IDCJAC0010,086071,2014,05,14,20.5,1,Y
IDCJAC0010,086071,2014,05,15,22.5,1,Y
